state_l,state_s,city,metro
California,CA,El Segundo,Los Angeles
Virginia,VA,Arlington,Washington DC
California,CA,Palo Alto,San Jose
Massachusetts,MA,Maynard,Boston
Maine,ME,Auburn,Lewiston-Auburn ME
California,CA,South San Francisco,San Francisco
Arizona,AZ,Scottsdale,Phoenix
Oregon,OR,Portland,Portland OR
North Carolina,NC,Wilmington,Wilmington NC
Colorado,CO,Boulder,Boulder CO
Kansas,KS,Lenexa,Waterloo-Cedar Falls IA
Florida,FL,Jacksonville,Jacksonville FL
Florida,FL,Palmetto,Sarasota-Bradenton-Venice FL
North Carolina,NC,Raleigh,Raleigh-Cary NC
Hawaii,HI,Honolulu,Honolulu HI
California,CA,Los Angeles,Los Angeles
Virginia,VA,McLean,Washington DC
Alabama,AL,Fairhope,Daphne-Fairhope-Foley AL
Texas,TX,Austin,Austin
Virginia,VA,Richmond,Richmond VA
Arizona,AZ,Tempe,Phoenix
Texas,TX,Dallas,Dallas
Florida,FL,Tampa,Tampa
Florida,FL,Miami,Miami
Pennsylvania,PA,Morrisville,Dallas
California,CA,Westlake Village,Los Angeles
Indiana,IN,Indianapolis,Indianapolis IN
Missouri,MO,Columbia,Columbia MO
New Jersey,NJ,Berkeley Heights,New York City
California,CA,San Francisco,San Francisco
New York,NY,New York,New York City
Michigan,MI,Troy,Detroit
Wisconsin,WI,Madison,Madison WI
Texas,TX,North Richland Hills,Dallas
Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA
Maryland,MD,Chevy Chase,Washington DC
Iowa,IA,Des Moines,Des Moines-West Des Moines IA
California,CA,Pleasanton,San Francisco
Alabama,AL,Huntsville,Huntsville AL
Oklahoma,OK,Norman,Oklahoma City OK
Texas,TX,Tyler,Tyler TX
Michigan,MI,Richmond,Detroit
Ohio,OH,Enon,Springfield OH
Florida,FL,Sunrise,Miami
Illinois,IL,Chicago,Chicago
Rhode Island,RI,Cranston,Providence-New Bedford-Fall River RI-MA
Illinois,IL,Elgin,Chicago
California,CA,San Diego,San Diego
Texas,TX,Fort Worth,Dallas
New Jersey,NJ,Englewood,New York City
Texas,TX,Irving,Dallas
Pennsylvania,PA,Maple Glen,Philadelphia
New York,NY,Brooklyn,New York City
California,CA,Laguna Niguel,Los Angeles
District of Columbia,DC,Washington,Washington DC
Massachusetts,MA,Waltham,Boston
Massachusetts,MA,Cambridge,Boston
Florida,FL,Miramar,Miami
California,CA,Sonoma,Napa CA
Rhode Island,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA
Massachusetts,MA,Hopkinton,Boston
Texas,TX,Burleson,Dallas
California,CA,Manhattan Beach,Los Angeles
Florida,FL,Pompano Beach,Miami
California,CA,Redwood City,San Francisco
New York,NY,Long Island City,New York City
Utah,UT,Salt Lake City,Salt Lake City
Indiana,IN,Fort Wayne,Fort Wayne IN
Washington,WA,Seattle,Seattle
Pennsylvania,PA,Malvern,Philadelphia
Missouri,MO,Lee's Summit,Kansas City MO-KS
Missouri,MO,St. Louis,St. Louis MO-IL
Massachusetts,MA,Boston,Boston
California,CA,Beverly Hills,Los Angeles
Michigan,MI,Farmington Hills,Detroit
Virginia,VA,Falls Church,Washington DC
Pennsylvania,PA,Berwyn,Philadelphia
Texas,TX,The Colony,Dallas
New York,NY,Bronx,New York City
Illinois,IL,Itasca,Chicago
Wisconsin,WI,Mequon,Milwaukee-Waukesha-West Allis WI
Virginia,VA,Charlottesville,Charlottesville VA
Virginia,VA,Warrenton,Culpeper VA
Ohio,OH,Granville,Columbus OH
California,CA,Murrieta,Riverside-San Bernardino-Ontario CA
California,CA,Sunnyvale,San Jose
Florida,FL,Boca Raton,Miami
Idaho,ID,Boise,Boise City-Nampa ID
California,CA,Sherman Oaks,Los Angeles
New Jersey,NJ,West Windsor,Trenton-Ewing NJ
Virginia,VA,Reston,Washington DC
New Jersey,NJ,Rochelle Park,
North Carolina,NC,Charlotte,Charlotte
California,CA,Los Gatos,San Jose
Maryland,MD,Baltimore,Baltimore
Florida,FL,Oviedo,Orlando FL
California,CA,Westminster,Los Angeles
New York,NY,Howard Beach,New York City
California,CA,Irvine,Los Angeles
Florida,FL,Orlando,Orlando FL
New Jersey,NJ,Parsippany,New York City
Indiana,IN,West Lafayette,
Pennsylvania,PA,Pittsburgh,Pittsburgh PA
Ohio,OH,Upper Arlington,Columbus OH
South Carolina,SC,Charleston,Charleston-North Charleston SC
Illinois,IL,Deerfield,Chicago
Georgia,GA,Atlanta,Atlanta
Illinois,IL,St. Charles,Chicago
Utah,UT,American Fork,Provo-Orem UT
Utah,UT,Bluffdale,Salt Lake City
Indiana,IN,Fishers,Indianapolis IN
Kansas,KS,Overland PArk,Kansas City MO-KS
Virginia,VA,Virginia Beach,Virginia Beach-Norfolk-Newport News VA-NC
Florida,FL,Maitland,Orlando FL
Kentucky,KY,Florence,Cincinnati
California,CA,Encino,Los Angeles
New Jersey,NJ,Hoboken,New York City
New Jersey,NJ,Hamilton,Trenton-Ewing NJ
New Hampshire,NH,Salem,Boston
Ohio,OH,Westlake,Cleveland
Virginia,VA,Kilmarnock,
Colorado,CO,Lakewood,Denver
Virginia,VA,Glen Allen,Richmond VA
Illinois,IL,Evanston,Chicago
California,CA,Lemon Grove,San Diego
California,CA,Santa Ana,Los Angeles
Massachusetts,MA,Topsfield,Boston
California,CA,Cupertino,San Jose
Maryland,MD,Gaithersburg,Washington DC
Georgia,GA,McDonough,Atlanta
New Mexico,NM,Albuquerque,Albuquerque NM
California,CA,Livermore,San Francisco
Pennsylvania,PA,Glen Mills,Philadelphia
Michigan,MI,Novi,Detroit
Illinois,IL,Chicago,
California,CA,Anaheim,Los Angeles
Michigan,MI,Ann Arbor,Ann Arbor MI
Wisconsin,WI,Mount Pleasant,Chicago
Texas,TX,Dalworthington Garden,Dallas
Virginia,VA,Chantilly,Washington DC
Texas,TX,San Antonio,San Antonio TX
New Jersey,NJ,Brick,New York City
Virginia,VA,Alexandria,Washington DC
Kansas,KS,Overland Park,Kansas City MO-KS
California,CA,Seaside,Salinas CA
California,CA,Santa Monica,Los Angeles
New York,NY,Fishkill,Poughkeepsie-Newburgh-Middletown NY
Texas,TX,Laredo,Laredo TX
Minnesota,MN,Ramsey,Minneapolis
Mississippi,MS,Oxford,Oxford MS
Florida,FL,St. Petersburg,Tampa
Ohio,OH,Mason,Cincinnati
Illinois,IL,Peoria,Peoria IL
Michigan,MI,Kalamazoo,Kalamazoo-Portage MI
Utah,UT,Roy,Ogden-Clearfield UT
Louisiana,LA,Harvey,New Orleans-Metairie-Kenner LA
Colorado,CO,Denver,Denver
Illinois,IL,Bloomingdale,Chicago
California,CA,San Mateo,San Francisco
North Carolina,NC,Harrisburg,Charlotte
Utah,UT,Provo,Provo-Orem UT
Washington,WA,Kirkland,Seattle
New Jersey,NJ,Cranford,New York City
Texas,TX,Houston,Houston
Delaware,DE,Wilmington,Philadelphia
Virginia,VA,Fairfax,Washington DC
Ohio,OH,Twinsburg,Akron OH
Pennsylvania,PA,Philadelphia,Philadelphia
New York,NY,Rochester,Rochester NY
California,CA,Foster City,San Francisco
New York,NY,Great Neck,New York City
Virginia,VA,Herndon,Washington DC
Oregon,OR,Bend,Prineville OR
Oregon,OR,Beaverton,Portland OR
Alabama,AL,Birmingham,Birmingham-Hoover AL
California,CA,Cardiff,San Diego
California,CA,Mountain View,San Jose
California,CA,Sausalito,San Francisco
California,CA,Monterey,Salinas CA
Utah,UT,Lehi,Provo-Orem UT
Texas,TX,Addison,Dallas
Florida,FL,Altamonte Springs,Orlando FL
Massachusetts,MA,Needham,Boston
California,CA,Santa Rosa,Santa Rosa-Petaluma CA
Utah,UT,Lindon,Provo-Orem UT
California,CA,Van Nuys,Los Angeles
Colorado,CO,Louisville,Boulder CO
West Virginia,WV,Bridgeport,
Nebraska,NE,Lincoln,Lincoln NE
California,CA,Menlo Park,San Francisco
Maryland,MD,Columbia,Baltimore
Nevada,NV,Las Vegas,Las Vegas-Paradise NV
Illinois,IL,South Barrington,Chicago
Michigan,MI,Royal Oak,Detroit
California,CA,Carlsbad,San Diego
Kansas,KS,Leavenworth,Kansas City MO-KS
Tennessee,TN,Brentwood,Nashville
Ohio,OH,Lewis Center,Columbus OH
Oklahoma,OK,Tulsa,Tulsa OK
Colorado,CO,Loveland,Fort Collins-Loveland CO
Florida,FL,Miami Beach,Miami
Oregon,OR,Hillsboro,Portland OR
Florida,FL,Bradenton,Sarasota-Bradenton-Venice FL
Tennessee,TN,Nashville,Nashville
Minnesota,MN,Burnsville,Minneapolis
Nevada,NV,Henderson,Las Vegas-Paradise NV
Mississippi,MS,Hattiesburg,
California,CA,Oxnard,Oxnard-Thousand Oaks-Ventura CA
Georgia,GA,Duluth,Atlanta
Maryland,MD,Rockville,Washington DC
Georgia,GA,Alpharetta,Atlanta
Oregon,OR,Lake Oswego,Portland OR
Ohio,OH,Rocky River,Cleveland
Washington,WA,Spokane,Spokane WA
Connecticut,CT,Norwalk,Bridgeport-Stamford-Norwalk CT
California,CA,Valencia,Los Angeles
Arizona,AZ,Gilbert,Phoenix
North Carolina,NC,Lexington,Thomasville-Lexington NC
Texas,TX,Sugar Land,Houston
New Jersey,NJ,Cinnaminson,Philadelphia
New York,NY,Hicksville,New York City
Kentucky,KY,Louisville,Louisville/Jefferson KY-IN
Texas,TX,McKinney,Dallas
Virginia,VA,Woodbridge,Washington DC
California,CA,Simi Valley,Oxnard-Thousand Oaks-Ventura CA
Maryland,MD,Landover,Washington DC
Utah,UT,South Jordan,Salt Lake City
Washington,WA,Olympia,Olympia WA
Pennsylvania,PA,New Castle,New Castle PA
Montana,MT,Whitefish,Kalispell MT
Minnesota,MN,Golden Valley,Minneapolis
Virginia,VA,Doswell,Richmond VA
Texas,TX,Stafford,Houston
Indiana,IN,Carmel,Indianapolis IN
Massachusetts,MA,Westborough,Worcester MA
New Jersey,NJ,Mountainside,New York City
Florida,FL,Winter Park,Orlando FL
Wisconsin,WI,Hartland,Milwaukee-Waukesha-West Allis WI
Pennsylvania,PA,Bristol,Philadelphia
Oregon,OR,McMinnville,Portland OR
Arizona,AZ,Phoenix,Phoenix
California,CA,Placerville,Sacramento--Arden-Arcade--Roseville CA
California,CA,Escondido,San Diego
Washington,WA,Vancouver,Portland OR
Ohio,OH,Columbus,Columbus OH
Illinois,IL,Schaumburg,Chicago
California,CA,Oakland,San Francisco
Pennsylvania,PA,Plymouth Meeting,Philadelphia
California,CA,Santa Barbara,Santa Barbara-Santa Maria-Goleta CA
New Jersey,NJ,Ramsey,New York City
Arizona,AZ,Paradise Valley,Phoenix
Texas,TX,Arlington,Dallas
Missouri,MO,O'Fallon,St. Louis MO-IL
South Carolina,SC,Mount Pleasant,Charleston-North Charleston SC
Illinois,IL,Crestwood,Chicago
California,CA,Santa Fe Springs,Los Angeles
Illinois,IL,Addison,Chicago
Florida,FL,Clearwater,Tampa
Florida,FL,Fort Lauderdale,Miami
Florida,FL,Longwood,Orlando FL
Georgia,GA,Woodstock,Atlanta
Washington,WA,Bellevue,Seattle
California,CA,Temple City,Los Angeles
Colorado,CO,Englewood,Denver
North Carolina,NC,Matthews,Charlotte
New York,NY,Buffalo,Buffalo-Niagara Falls NY
Virginia,VA,Leesburg,Washington DC
Texas,TX,Plano,Dallas
Pennsylvania,PA,Cranberry Township,Pittsburgh PA
Florida,FL,Ponte Vedra Beach,Palatka FL
Virginia,VA,Mechanicsville,Richmond VA
California,CA,North Hollywood,Los Angeles
New Jersey,NJ,Edison,New York City
Tennessee,TN,Memphis,Memphis TN-MS-AR
Florida,FL,Coral Gables,Miami
New York,NY,Upper Nyack,New York City
Minnesota,MN,Minneapolis,Minneapolis
Virginia,VA,Tysons Corner,Washington DC
California,CA,Santa Clara,San Jose
Delaware,DE,Selbyville,Seaford DE
Tennessee,TN,Ooltewah,Chattanooga TN-GA
North Carolina,NC,Cary,Durham NC
Massachusetts,MA,Newton,Boston
Ohio,OH,Cleveland,Cleveland
Tennessee,TN,Knoxville,Knoxville TN
Connecticut,CT,Hamden,New Haven-Milford CT
Colorado,CO,Colorado Springs,Colorado Springs CO
California,CA,Gardena,Los Angeles
California,CA,Marina Del Rey,Los Angeles
Florida,FL,Coral Springs,Miami
North Carolina,NC,Morrisville,Durham NC
Ohio,OH,Tipp City,Dayton OH
Georgia,GA,Tucker,Atlanta
Georgia,GA,Roswell,Atlanta
Missouri,MO,Maplewood,St. Louis MO-IL
Iowa,IA,West Des Moines,Des Moines-West Des Moines IA
New York,NY,New Rochelle,New York City
Colorado,CO,Westminster,Denver
Connecticut,CT,Georgetown,Bridgeport-Stamford-Norwalk CT
New York,NY,Port Washington,New York City
South Carolina,SC,North Charleston,Charleston-North Charleston SC
Texas,TX,New Braunfels,San Antonio TX
Virginia,VA,Crozet,Charlottesville VA
Pennsylvania,PA,Breinigsville,Reading PA
Virginia,VA,Sterling,Washington DC
Texas,TX,Bryan,College Station-Bryan TX
Florida,FL,Naples,Naples-Marco Island FL
Washington,WA,Bothell,Seattle
Ohio,OH,Solon,Cleveland
Texas,TX,Denton,Dallas
Maryland,MD,Calverton,Washington DC
Texas,TX,Frisco,Dallas
Massachusetts,MA,Lexington,Boston
Virginia,VA,Suffolk,Virginia Beach-Norfolk-Newport News VA-NC
Pennsylvania,PA,Levittown,Philadelphia
Connecticut,CT,Middlebury,New Haven-Milford CT
California,CA,San Jose,San Jose
Utah,UT,Draper,Salt Lake City
New York,NY,Fayetteville,Syracuse NY
Michigan,MI,Livonia,Detroit
North Carolina,NC,Fayetteville,Fayetteville NC
Georgia,GA,Fayetteville,Atlanta
Michigan,MI,Northville,Detroit
Minnesota,MN,Plymouth,Minneapolis
Massachusetts,MA,Norwell,Boston
California,CA,Laguna Hills,Los Angeles
Pennsylvania,PA,Exton,Philadelphia
New Jersey,NJ,Wall,New York City
Florida,FL,West Palm Beach,Miami
Hawaii,HI,Aiea,Honolulu HI
Illinois,IL,Villa Park,Chicago
Arkansas,AR,Bentonville,Fayetteville-Springdale-Rogers AR-MO
Ohio,OH,Valley View,Cleveland
Florida,FL,Palm Beach Gardens,Miami
California,CA,Burbank,Los Angeles
Florida,FL,Fort Myers,Cape Coral-Fort Myers FL
Maine,ME,Portland,Portland-South Portland-Biddeford ME
California,CA,San Luis Obispo,San Luis Obispo-Paso Robles CA
Utah,UT,West Valley City,Salt Lake City
Virginia,VA,Stafford,Washington DC
Maryland,MD,Owings Mills,Baltimore
New Jersey,NJ,Iselin,New York City
New York,NY,Copiague,New York City
New Jersey,NJ,Kendall Park,New York City
Kansas,KS,Lawrence,Lawrence KS
Illinois,IL,Morton Grove,Chicago
Florida,FL,Bonita Springs,Naples-Marco Island FL
Utah,UT,Layton,Ogden-Clearfield UT
California,CA,Tustin,Los Angeles
Pennsylvania,PA,King of Prussia,Philadelphia
Massachusetts,MA,Wakefield,Philadelphia
Georgia,GA,Cumming,Atlanta
New Jersey,NJ,Secaucus,New York City
Wisconsin,WI,Milwaukee,Milwaukee-Waukesha-West Allis WI
Maryland,MD,Windsor Mill,Baltimore
Oklahoma,OK,Edmond,Oklahoma City OK
New York,NY,White Plains,New York City
California,CA,Sacramento,Sacramento--Arden-Arcade--Roseville CA
Ohio,OH,Beavercreek,Dayton OH
California,CA,Huntington Beach,Los Angeles
Massachusetts,MA,Burlington,Boston
Idaho,ID,Coeur d'Alene,Coeur d'Alene ID
Oklahoma,OK,Oklahoma City,Oklahoma City OK
Pennsylvania,PA,New Oxford,Philadelphia
Pennsylvania,PA,Wexford,Pittsburgh PA
California,CA,Rancho Cordova,Sacramento--Arden-Arcade--Roseville CA
Washington,WA,Issaquah,Seattle
California,CA,Alhambra,Los Angeles
Texas,TX,Allen,Dallas
Illinois,IL,Naperville,Chicago
Nebraska,NE,Omaha,Omaha-Council Bluffs NE-IA
North Carolina,NC,Huntersville,Charlotte
Maryland,MD,Laurel,Washington DC
California,CA,San Juan Capistrano,Los Angeles
California,CA,Fresno,Fresno CA
California,CA,Rancho Mirage,Riverside-San Bernardino-Ontario CA
Alabama,AL,Enterprise,Enterprise-Ozark AL
California,CA,Newport Beach,Los Angeles
Louisiana,LA,Baton Rouge,Baton Rouge LA
Alabama,AL,Brownsboro,Huntsville AL
North Carolina,NC,Emerald Isle,Morehead City NC
New Jersey,NJ,Gibbsboro,Philadelphia
Maryland,MD,Bethesda,
Maryland,MD,Hyattsville,Washington DC
Virginia,VA,Vienna,Washington DC
Texas,TX,Flower Mound,Dallas
Virginia,VA,Ashburn,Washington DC
Florida,FL,Jacksonville Beach,Jacksonville FL
Missouri,MO,Liberty,Kansas City MO-KS
Virginia,VA,Chesapeake,Virginia Beach-Norfolk-Newport News VA-NC
Ohio,OH,Westerville,Columbus OH
Wisconsin,WI,La Crosse,La Crosse WI-MN
New York,NY,Colden,Buffalo-Niagara Falls NY
Virginia,VA,Chantilly,
Massachusetts,MA,Saugus,Boston
Connecticut,CT,Stamford,Bridgeport-Stamford-Norwalk CT
Georgia,GA,Norcross,Atlanta
Ohio,OH,Dublin,Columbus OH
Maryland,MD,White Marsh,Baltimore
Alabama,AL,Union Grove,Albertville AL
Illinois,IL,Mattoon,Charleston-Mattoon IL
Minnesota,MN,Maple Grove,Minneapolis
Alabama,AL,Mobile,Mobile AL
Illinois,IL,Oak Park,Chicago
Washington,WA,Preston,Seattle
Tennessee,TN,Franklin,Nashville
California,CA,La Palma,Los Angeles
New York,NY,Floral Park,New York City
Louisiana,LA,Bossier City,Shreveport-Bossier City LA
Maryland,MD,Upper Marlboro,Washington DC
New York,NY,Syracuse,Syracuse NY
California,CA,Palm Desert,Riverside-San Bernardino-Ontario CA
Louisiana,LA,West Monroe,Monroe LA
New York,NY,Cedarhurst,New York City
Minnesota,MN,St. Louis Park,Minneapolis
California,CA,Hawthorne,Los Angeles
Washington,WA,Tukwila,Seattle
Colorado,CO,Broomfield,Denver
North Carolina,NC,Durham,Durham NC
Minnesota,MN,Bemidji,Bemidji MN
Vermont,VT,West Dover,
California,CA,El Dorado Hills,Sacramento--Arden-Arcade--Roseville CA
California,CA,Emeryville,San Francisco
California,CA,Walnut Creek,San Francisco
California,CA,Camarillo,Oxnard-Thousand Oaks-Ventura CA
Massachusetts,MA,Northampton,Springfield MA
Maine,ME,Lewiston,Lewiston-Auburn ME
Illinois,IL,Vernon Hills,Chicago
Florida,FL,Orange Park,Jacksonville FL
Kentucky,KY,Lancaster,Danville KY
Florida,FL,Deerfield Beach,Miami
Ohio,OH,Cincinnati,Cincinnati
New York,NY,Scarsdale,New York City
New Jersey,NJ,Blackwood,Philadelphia
California,CA,Aliso Viejo,Los Angeles
Illinois,IL,O'Fallon,St. Louis MO-IL
Florida,FL,Aventura,Miami
Nevada,NV,Overton,Las Vegas-Paradise NV
Utah,UT,Sandy,Salt Lake City
South Carolina,SC,Greenville,Greenville-Mauldin-Easley SC
Utah,UT,Orem,Provo-Orem UT
Maryland,MD,Germantown,Washington DC
Delaware,DE,Dover,Dover DE
North Carolina,NC,High Point,Thomasville-Lexington NC
New Jersey,NJ,Morristown,New York City
New Jersey,NJ,Dunellen,New York City
Michigan,MI,Southfield,Detroit
California,CA,San Marcos,San Diego
California,CA,Carpinteria,Santa Barbara-Santa Maria-Goleta CA
Alabama,AL,Montevallo,Birmingham-Hoover AL
Massachusetts,MA,Framingham,Boston
Pennsylvania,PA,Robinson Township,Pittsburgh PA
Wisconsin,WI,Beloit,Janesville WI
Wisconsin,WI,Brookfield,Milwaukee-Waukesha-West Allis WI
Maryland,MD,Westminster,Baltimore
New Jersey,NJ,Princeton,Trenton-Ewing NJ
Arizona,AZ,Dewey,Prescott AZ
Wisconsin,WI,Kaukauna,Green Bay WI
Michigan,MI,Highland Park,Detroit
Ohio,OH,Independence,Cleveland
California,CA,Roseville,Sacramento--Arden-Arcade--Roseville CA
Georgia,GA,Clarkesville,Cornelia GA
California,CA,Garden Grove,Los Angeles
Idaho,ID,Idaho Falls,Idaho Falls ID
Virginia,VA,Springfield,Washington DC
California,CA,Richmond,San Francisco
New Jersey,NJ,Manalapan,New York City
Washington,WA,Redmond,Seattle
Rhode Island,RI,Warwick,Providence-New Bedford-Fall River RI-MA
New Jersey,NJ,East Hanover,New York City
Florida,FL,Winter Springs,Orlando FL
Minnesota,MN,Eden Prairie,Minneapolis
New York,NY,Saratoga Springs,Albany-Schenectady-Troy NY
Pennsylvania,PA,Newtown Square,Philadelphia
Illinois,IL,Tinley Park,Chicago
South Carolina,SC,Greenville,Newberry SC
Wisconsin,WI,New Holstein,Appleton WI
California,CA,Corona,Riverside-San Bernardino-Ontario CA
California,CA,Orange,Los Angeles
Ohio,OH,Blue Ash,Cincinnati
Missouri,MO,Clayton,St. Louis MO-IL
Pennsylvania,PA,Bethel Park,Pittsburgh PA
New York,NY,Woodside,New York City
California,CA,San Ramon,San Francisco
Colorado,CO,Fort Collins,Boulder CO
Mississippi,MS,Flowood,Jackson MS
North Carolina,NC,Clayton,Raleigh-Cary NC
California,CA,Petaluma,San Francisco
Ohio,OH,Monroe,Cincinnati
Florida,FL,Sarasota,Panama City-Lynn Haven FL
Louisiana,LA,Lafayette,Lafayette LA
Texas,TX,Pasadena,Houston
New Jersey,NJ,Paramus,New York City
South Carolina,SC,Columbia,Columbia SC
Indiana,IN,Middlebury,Elkhart-Goshen IN
New Jersey,NJ,Collingswood,Philadelphia
Minnesota,MN,Spring Park,Minneapolis
Georgia,GA,Dacula,Atlanta
North Carolina,NC,Cary,Raleigh-Cary NC
Wisconsin,WI,Franklin,Milwaukee-Waukesha-West Allis WI
Illinois,IL,Des Plaines,Chicago
Michigan,MI,Grosse Pointe Farms,Detroit
Massachusetts,MA,Watertown,Boston
Utah,UT,Riverton,Salt Lake City
Maryland,MD,Ellicott City,Baltimore
Missouri,MO,Archie,Kansas City MO-KS
Iowa,IA,Davenport,Davenport-Moline-Rock Island IA-IL
California,CA,West Hollywood,Los Angeles
Connecticut,CT,West Hartford,Hartford-West Hartford-East Hartford CT
Maine,ME,Lisbon Falls,Lewiston-Auburn ME
Illinois,IL,Midlothian,Chicago
Maryland,MD,Silver Spring,Washington DC
West Virginia,WV,Star City,Morgantown WV
California,CA,Brentwood,San Francisco
New Jersey,NJ,Newark,New York City
