state_l,state_s,city,metro
Minnesota,MN,Maplewood,Minneapolis
Arkansas,AR,Lowell,Fayetteville-Springdale-Rogers AR-MO
New York,NY,West Babylon,New York City
Pennsylvania,PA,Montoursville,Williamsport PA
Illinois,IL,Schiller Park,Chicago
Georgia,GA,Calhoun,Rome GA
North Carolina,NC,HIgh Point,Greensboro-High Point NC
Illinois,IL,Burnham,Chicago
California,CA,Sacramento,
Pennsylvania,PA,Pittsburgh,
Minnesota,MN,Chanhassen,Minneapolis
Ohio,OH,Lima,Lima OH
New Jersey,NJ,Paterson,New York City
Minnesota,MN,Excelsior,Minneapolis
Massachusetts,MA,Somerville,Boston
New Jersey,NJ,Livingston,New York City
Massachusetts,MA,Woburn,Boston
New Hampshire,NH,Newington,Concord NH
Massachusetts,MA,Eastham,Barnstable Town MA
Indiana,IN,Marion,
Connecticut,CT,Old Lyme,Norwich-New London CT
Massachusetts,MA,Weymouth,Boston
California,CA,Glendale,Los Angeles
Maryland,MD,Elkridge,Baltimore
Utah,UT,Price,Price UT
Florida,FL,Pensacola,Pensacola-Ferry Pass-Brent FL
Michigan,MI,Williamston,Lansing-East Lansing MI
Louisiana,LA,Shreveport,Shreveport-Bossier City LA
Florida,FL,Melbourne,Palm Bay-Melbourne-Titusville FL
Florida,FL,Jensen Beach,Port St. Lucie FL
California,CA,Santa Clarita,Los Angeles
Mississippi,MS,Starkville,West Point MS
Virginia,VA,Luray,
Missouri,MO,Grain Valley,Kansas City MO-KS
Oregon,OR,Roseburg,Roseburg OR
Illinois,IL,Lake Zurich,Chicago
Connecticut,CT,Sandy Hook,Bridgeport-Stamford-Norwalk CT
North Carolina,NC,Colfax,Greensboro-High Point NC
Massachusetts,MA,Acton,Boston
Pennsylvania,PA,Pottstown,Reading PA
Florida,FL,New Port Richey,Tampa
California,CA,Chino,Riverside-San Bernardino-Ontario CA
Utah,UT,Murray,Salt Lake City
New Jersey,NJ,Sayreville,New York City
Florida,FL,Southwest Ranches,Miami
Oklahoma,OK,Broken Arrow,Tulsa OK
California,CA,Winnetka,Los Angeles
Florida,FL,The Villages,
California,CA,Gold River,Sacramento--Arden-Arcade--Roseville CA
Tennessee,TN,Kodak,Morristown TN
Indiana,IN,Warsaw,Warsaw IN
Connecticut,CT,Bristol,Hartford-West Hartford-East Hartford CT
Illinois,IL,Berkeley,Chicago
Georgia,GA,Griffin,Atlanta
California,CA,Union City,San Francisco
Louisiana,LA,St. Rose,New Orleans-Metairie-Kenner LA
New Jersey,NJ,Monmouth Junction,New York City
Michigan,MI,Farmington,Detroit
Kansas,KS,Leawood,Kansas City MO-KS
Georgia,GA,Savannah,Savannah GA
New Jersey,NJ,Lakewood,New York City
South Carolina,SC,Myrtle Beach,Myrtle Beach-Conway-North Myrtle Beach SC
Virginia,VA,Warrenton,Washington DC
Texas,TX,Victoria,Victoria TX
Illinois,IL,Loves Park,Rockford IL
Florida,FL,Largo,Tampa
South Carolina,SC,Little River,Myrtle Beach-Conway-North Myrtle Beach SC
Texas,TX,Beaumont,Beaumont-Port Arthur TX
Minnesota,MN,Hastings,Minneapolis
Illinois,IL,Northbrook,Chicago
Illinois,IL,Bensenville,Chicago
California,CA,Novato,San Francisco
Pennsylvania,PA,Merion Station,Philadelphia
Minnesota,MN,St. Cloud,St. Cloud MN
Massachusetts,MA,Walpole,Boston
Minnesota,MN,Sauk Rapids,St. Cloud MN
North Carolina,NC,Raleigh,Scranton--Wilkes-Barre PA
New York,NY,Utica,Utica-Rome NY
Texas,TX,Brownsville,Brownsville-Harlingen TX
Maryland,MD,Hagerstown,Hagerstown-Martinsburg MD-WV
New Jersey,NJ,Bridgewater,New York City
Pennsylvania,PA,Hummelstown,Harrisburg-Carlisle PA
California,CA,Calabasas,Los Angeles
Ohio,OH,Millersburg,Coshocton OH
Connecticut,CT,Manchester,Hartford-West Hartford-East Hartford CT
Pennsylvania,PA,Indiana,Indiana PA
Pennsylvania,PA,Somerset,Somerset PA
Oregon,OR,Wilsonville,Portland OR
Kansas,KS,Kansas City,Kansas City MO-KS
Texas,TX,Port Lavaca,Victoria TX
California,CA,Redding,Redding CA
Rhode Island,RI,North Kingstown,Providence-New Bedford-Fall River RI-MA
New Jersey,NJ,Plainsboro,New York City
Ohio,OH,Mentor,Cleveland
Illinois,IL,Chadwick,
Mississippi,MS,Columbus,Columbus MS
New York,NY,Troy,Albany-Schenectady-Troy NY
Georgia,GA,Rome,Rome GA
Indiana,IN,New Albany,Louisville/Jefferson KY-IN
Texas,TX,Humble,Houston
California,CA,Vernon,Los Angeles
New Jersey,NJ,Wyckoff,New York City
North Carolina,NC,Greenville,Greenville NC
Missouri,MO,Chesterfield,St. Louis MO-IL
New Jersey,NJ,Gloucester City,Philadelphia
Nevada,NV,Las vegas,Las Vegas-Paradise NV
Kentucky,KY,Covington,Cincinnati
New York,NY,Bohemia,New York City
California,CA,San Francisco,Los Angeles
Ohio,OH,Loveland,Cincinnati
Ohio,OH,Holland,Toledo OH
Michigan,MI,Bingham Farms,Detroit
New Jersey,NJ,Somerset,New York City
Michigan,MI,Holland,Allegan MI
Iowa,IA,Urbana,Cedar Rapids IA
Pennsylvania,PA,Media,Philadelphia
South Carolina,SC,Fort Mill,Lancaster SC
Maryland,MD,Hunt Valley,Baltimore
Massachusetts,MA,Salisbury,Boston
Ohio,OH,Akron,Cleveland
California,CA,Visalia,Visalia-Porterville CA
Texas,TX,Belton,Killeen-Temple-Fort Hood TX
Kansas,KS,Overland Park,
Ohio,OH,Akron,Akron OH
Iowa,IA,Le Claire,Davenport-Moline-Rock Island IA-IL
New York,NY,Jamaica,New York City
Tennessee,TN,Oakland,Memphis TN-MS-AR
Massachusetts,MA,Hingham,Boston
North Carolina,NC,Sanford,Durham NC
Alabama,AL,Athens,Huntsville AL
Ohio,OH,Chagrin Falls,Akron OH
Texas,TX,Mesquite,Dallas
Wisconsin,WI,Sparta,La Crosse WI-MN
Texas,TX,Pflugerville,Austin
Connecticut,CT,Trumbull,Bridgeport-Stamford-Norwalk CT
California,CA,Venice,Los Angeles
New York,NY,West Henrietta,Rochester NY
Michigan,MI,Mount Pleasant,Mount Pleasant MI
New Jersey,NJ,Colts Neck,New York City
Wisconsin,WI,Green Bay,Green Bay WI
South Carolina,SC,Lancaster,Lancaster SC
Massachusetts,MA,Mansfield,Providence-New Bedford-Fall River RI-MA
Washington,WA,Lynnwood,Seattle
Missouri,MO,Mount Vernon,
Indiana,IN,Bloomington,Bloomington IN
Nebraska,NE,Syracuse,
Massachusetts,MA,Northborough,Worcester MA
Maryland,MD,Beltsville,Washington DC
California,CA,Danville,San Francisco
Ohio,OH,Maineville,Cincinnati
Missouri,MO,Holts Summit,Jefferson City MO
Michigan,MI,Wixom,Detroit
Mississippi,MS,Jackson,Jackson MS
Massachusetts,MA,Lawrence,Boston
Ohio,OH,Middletown,Cincinnati
Kentucky,KY,Owensboro,Owensboro KY
Florida,FL,Doral,Miami
Wisconsin,WI,Elm Grove,Milwaukee-Waukesha-West Allis WI
Missouri,MO,Battlefield,Springfield MO
Connecticut,CT,Wilton,Bridgeport-Stamford-Norwalk CT
New York,NY,Washingtonville,Poughkeepsie-Newburgh-Middletown NY
California,CA,Oakhurst,Madera CA
Ohio,OH,Lorain,Cleveland
Illinois,IL,Mundelein,Chicago
Utah,UT,Hyde Park,Logan UT-ID
Arizona,AZ,Prescott Valley,Prescott AZ
Massachusetts,MA,Westfield,Springfield MA
New Jersey,NJ,Clinton,New York City
Pennsylvania,PA,Chester,Philadelphia
Iowa,IA,Milford,Spencer IA
Minnesota,MN,Baxter,Brainerd MN
New Hampshire,NH,Center Harbor,Laconia NH
Colorado,CO,Pueblo,Pueblo CO
Louisiana,LA,Youngsville,New Iberia LA
California,CA,Paso Robles,San Luis Obispo-Paso Robles CA
Ohio,OH,Lockbourne,Columbus OH
New Jersey,NJ,North Bergen,New York City
New York,NY,Monsey,New York City
Kansas,KS,Shawnee,Kansas City MO-KS
Kentucky,KY,Newport,Cincinnati
Pennsylvania,PA,Sharon Hill,Philadelphia
Pennsylvania,PA,Claysville,Pittsburgh PA
Illinois,IL,Effingham,Charleston-Mattoon IL
California,CA,San Bruno,San Francisco
New Hampshire,NH,Newfields,Boston
Texas,TX,Garland,Dallas
California,CA,Yorba Linda,Los Angeles
Louisiana,LA,Ruston,Ruston LA
Virginia,VA,Haymarket,Washington DC
Wisconsin,WI,Fitchburg,Madison WI
New Jersey,NJ,Township of Washington,New York City
New Jersey,NJ,North Brunswick,New York City
New Jersey,NJ,Woodbridge,New York City
Texas,TX,Pampa,Amarillo TX
Indiana,IN,Markle,Huntington IN
Pennsylvania,PA,Erie,Erie PA
Illinois,IL,Roselle,Chicago
Michigan,MI,Saginaw,Saginaw-Saginaw Township North MI
California,CA,Commerce,Los Angeles
Alabama,AL,Falkville,Cullman AL
Pennsylvania,PA,Ambler,Philadelphia
Washington,WA,Maple Valley,Seattle
New Jersey,NJ,Farmingdale,New York City
Wisconsin,WI,Mayville,Beaver Dam WI
Kansas,KS,Manhattan,Manhattan KS
Connecticut,CT,Farmington,Hartford-West Hartford-East Hartford CT
Florida,FL,Cape Coral,Cape Coral-Fort Myers FL
Oregon,OR,Eugene,Eugene-Springfield OR
New Jersey,NJ,Washington,New York City
Pennsylvania,PA,Hatboro,Philadelphia
Virginia,VA,Exmore,
Louisiana,LA,Houma,Houma-Bayou Cane-Thibodaux LA
Ohio,OH,Perrysburg,Toledo OH
New Jersey,NJ,Scotch Plains,New York City
Kentucky,KY,Hebron,Cincinnati
California,CA,Dublin,San Francisco
North Carolina,NC,Garner,Raleigh-Cary NC
Wisconsin,WI,River Falls,Minneapolis
Wisconsin,WI,Manitowoc,Manitowoc WI
Texas,TX,Round Rock,Austin
North Carolina,NC,Southern Pines,Southern Pines-Pinehurst NC
Texas,TX,El Paso,El Paso TX
Massachusetts,MA,West Bridgewater,Boston
California,CA,Soquel,Santa Cruz-Watsonville CA
California,CA,Encinitas,San Diego
Wisconsin,WI,Blue Mounds,Madison WI
New Jersey,NJ,Rochelle Park,New York City
Massachusetts,MA,Methuen,Boston
New York,NY,Roslyn Heights,New York City
Illinois,IL,Westmont,Chicago
Illinois,IL,Melrose Park,Chicago
California,CA,Chatsworth,Los Angeles
Pennsylvania,PA,Philipsburg,State College PA
Illinois,IL,Bloomington,Bloomington-Normal IL
Ohio,OH,Troy,Greenville OH
Michigan,MI,Tecumseh,Adrian MI
New Jersey,NJ,Skillman,Trenton-Ewing NJ
Georgia,GA,Athens,Athens-Clarke GA
California,CA,San DIego,San Diego
Florida,FL,Lehigh Acres,Cape Coral-Fort Myers FL
Ohio,OH,Galena,Columbus OH
Illinois,IL,La Grange,Chicago
Ohio,OH,Bowling Green,Toledo OH
Pennsylvania,PA,Newtown,Philadelphia
California,CA,San Leandro,San Francisco
New Hampshire,NH,Hudson,Manchester-Nashua NH
California,CA,Claremont,Los Angeles
Kansas,KS,Olathe,Kansas City MO-KS
Indiana,IN,Mishawaka,South Bend-Mishawaka IN-MI
Illinois,IL,Wilmette,Chicago
Utah,UT,Woods Cross,Ogden-Clearfield UT
South Dakota,SD,Madison,
Colorado,CO,Lafayette,Boulder CO
Washington,WA,Woodinville,Seattle
Colorado,CO,Aurora,Denver
California,CA,Davis,Vallejo-Fairfield CA
Florida,FL,Lakeland,Tampa
Missouri,MO,Brentwood,St. Louis MO-IL
Florida,FL,Newberry,Gainesville FL
Wisconsin,WI,Port Washington,Milwaukee-Waukesha-West Allis WI
Illinois,IL,Machesney Park,Rockford IL
Massachusetts,MA,Canton,Boston
New Jersey,NJ,Montvale,New York City
Florida,FL,Lake Park,Miami
Massachusetts,MA,Wayland,Boston
New Hampshire,NH,Kingston,Boston
Minnesota,MN,Mendota Heights,Minneapolis
Florida,FL,Gainesville,Gainesville FL
Louisiana,LA,Mandeville,New Orleans-Metairie-Kenner LA
California,CA,Cypress,Los Angeles
California,CA,Salinas,Salinas CA
Puerto Rico,PR,San Juan,San Juan-Caguas-Guaynabo PR
Kansas,KS,Salina,
California,CA,Vineburg,Santa Rosa-Petaluma CA
Georgia,GA,Fort Valley,Macon GA
Florida,FL,Punta Gorda,Punta Gorda FL
South Carolina,SC,Chapin,Columbia SC
California,CA,Rancho Santa Margarita,Los Angeles
Virginia,VA,Centreville,Washington DC
California,CA,Rancho Cucamonga,Riverside-San Bernardino-Ontario CA
Michigan,MI,Howell,Detroit
Wisconsin,WI,Little Chute,Appleton WI
Delaware,DE,Seaford,Seaford DE
Ohio,OH,Sheffield Village,Cleveland
New York,NY,Suffern,New York City
Pennsylvania,PA,Boothwyn,Philadelphia
North Carolina,NC,Enka,Asheville NC
Iowa,IA,Pella,Oskaloosa IA
Nebraska,NE,Wayne,Sioux City IA-NE-SD
Florida,FL,Land O' Lakes,Tampa
Massachusetts,MA,Sandwich,Barnstable Town MA
New Hampshire,NH,Nashua,Manchester-Nashua NH
Wisconsin,WI,New Berlin,Milwaukee-Waukesha-West Allis WI
Pennsylvania,PA,Ambridge,Pittsburgh PA
California,CA,Foothill Ranch,Los Angeles
Virginia,VA,Belle Haven,
Mississippi,MS,Ridgeland,Jackson MS
Connecticut,CT,Redding,Bridgeport-Stamford-Norwalk CT
North Carolina,NC,Monroe,Charlotte
North Carolina,NC,Salisbury,Salisbury NC
Illinois,IL,Hinsdale,Chicago
Wisconsin,WI,Caledonia,Racine WI
Texas,TX,Schertz,San Antonio TX
Iowa,IA,Ames,Ames IA
Illinois,IL,Franklin Park,Chicago
Ohio,OH,Barberton,Cleveland
Georgia,GA,Buford,Atlanta
New York,NY,Bergen,Batavia NY
California,CA,Milpitas,San Jose
New Jersey,NJ,Cranbury,New York City
New York,NY,Carle Place,New York City
Maryland,MD,Bowie,Washington DC
Maryland,MD,Mount Airy,Baltimore
Maine,ME,Whiting,
Texas,TX,Tomball,Houston
New York,NY,Pittsford,Rochester NY
New Jersey,NJ,Woodbury,Philadelphia
Massachusetts,MA,Auburn,Worcester MA
Florida,FL,Miami Lakes,Miami
New York,NY,Albany,Albany-Schenectady-Troy NY
Texas,TX,Coppell,Dallas
New Jersey,NJ,Hainesport,Philadelphia
California,CA,Irwindale,Los Angeles
Illinois,IL,Woodridge,Chicago
Ohio,OH,Orrville,Wooster OH
California,CA,Auburn,Truckee-Grass Valley CA
Wisconsin,WI,New Glarus,Madison WI
California,CA,Fremont,Allegan MI
Alaska,AK,Anchorage,Anchorage AK
Maryland,MD,Burtonsville,Washington DC
South Carolina,SC,Spartanburg,Spartanburg SC
New York,NY,Castleton,Albany-Schenectady-Troy NY
Ohio,OH,Brunswick,Cleveland
Michigan,MI,Petersburg,Monroe MI
Pennsylvania,PA,Chadds Ford,Philadelphia
Georgia,GA,Rome,Atlanta
Tennessee,TN,Goodlettsville,Nashville
Pennsylvania,PA,Mechanicsburg,Harrisburg-Carlisle PA
Connecticut,CT,New Canaan,Bridgeport-Stamford-Norwalk CT
Indiana,IN,Brownsburg,Indianapolis IN
New York,NY,Huntington Station,New York City
Pennsylvania,PA,Elkins Park,Philadelphia
Florida,FL,Coconut Creek,Miami
Pennsylvania,PA,Doylestown,Philadelphia
Michigan,MI,Owosso,Saginaw-Saginaw Township North MI
New York,NY,Smithtown,New York City
Pennsylvania,PA,Warrington,Philadelphia
South Carolina,SC,Greenwood,
New Jersey,NJ,Robbinsville,
Pennsylvania,PA,Garnet Valley,
Pennsylvania,PA,Allison Park,Pittsburgh PA
Virginia,VA,McLean,
Minnesota,MN,Blue Earth,
Florida,FL,Wellington,Miami
West Virginia,WV,Martinsburg,Hagerstown-Martinsburg MD-WV
Connecticut,CT,Hartford,Hartford-West Hartford-East Hartford CT
Texas,TX,Plano,Denver
California,CA,Cerritos,Los Angeles
Ohio,OH,Mansfield,Mansfield OH
Georgia,GA,Cairo,Bainbridge GA
Connecticut,CT,Westport,Bridgeport-Stamford-Norwalk CT
New Hampshire,NH,Londonderry,Boston
New Jersey,NJ,Metuchen,New York City
Texas,TX,Las Colinas,Dallas
Connecticut,CT,Cheshire,New Haven-Milford CT
Washington,WA,Anacortes,
New York,NY,Rensselaer,Albany-Schenectady-Troy NY
Wisconsin,WI,Campbellsport,Beaver Dam WI
Washington,WA,Enumclaw,Seattle
New York,NY,Victor,Rochester NY
New Jersey,NJ,Wall Township,New York City
Texas,TX,Grand Prairie,Dallas
Florida,FL,Hialeah,Miami
Iowa,IA,Hiawatha,Iowa City IA
Texas,TX,DFW Airport,Dallas
Ohio,OH,Middleburg Heights,Cleveland
Minnesota,MN,Fairmont,Fairmont MN
California,CA,Brea,Los Angeles
California,CA,Chino Hills,Riverside-San Bernardino-Ontario CA
Oregon,OR,Clackamas,Portland OR
New York,NY,East Syracuse,Syracuse NY
Pennsylvania,PA,Chester Springs,Philadelphia
Pennsylvania,PA,East Norriton,Philadelphia
New Jersey,NJ,Budd Lake,New York City
Wisconsin,WI,Kimberly,Appleton WI
California,CA,Riverside,Riverside-San Bernardino-Ontario CA
Washington,WA,Puyallup,Seattle
California,CA,Healdsburg,Santa Rosa-Petaluma CA
Connecticut,CT,Glastonbury,Hartford-West Hartford-East Hartford CT
Pennsylvania,PA,State College,State College PA
Vermont,VT,South Burlington,Burlington-South Burlington VT
Iowa,IA,Cedar Rapids,Iowa City IA
Minnesota,MN,Waite Park,St. Cloud MN
Wisconsin,WI,Germantown,Milwaukee-Waukesha-West Allis WI
New Jersey,NJ,Branchburg,New York City
Montana,MT,Missoula,Missoula MT
California,CA,Millbrae,San Francisco
Texas,TX,Montgomery,
New York,NY,Forest Hills,New York City
Illinois,IL,Burr Ridge,Chicago
Missouri,MO,Ellisville,St. Louis MO-IL
New Jersey,NJ,Manalapan,
Iowa,IA,Cedar Falls,Waterloo-Cedar Falls IA
Colorado,CO,Golden,Boulder CO
Michigan,MI,Blissfield,Toledo OH
New York,NY,Henrietta,Rochester NY
North Carolina,NC,Sylva,
New Jersey,NJ,Springfield,New York City
New York,NY,Getzville,Buffalo-Niagara Falls NY
Florida,FL,Gulf Breeze,Pensacola-Ferry Pass-Brent FL
Indiana,IN,Cloverdale,Bloomington IN
Minnesota,MN,Otsego,Minneapolis
Ohio,OH,Hilliard,Columbus OH
Michigan,MI,Romulus,Detroit
Ohio,OH,Canton,Canton-Massillon OH
New York,NY,West Islip,New York City
Michigan,MI,Oak Park,Detroit
New York,NY,Tarrytown,New York City
Georgia,GA,Douglasville,Atlanta
Ohio,OH,Mayfield Village,Cleveland
Wisconsin,WI,Oshkosh,Fond du Lac WI
Massachusetts,MA,Southborough,Worcester MA
Illinois,IL,Wauconda,Chicago
Illinois,IL,Carol Stream,Chicago
Michigan,MI,Fowlerville,Lansing-East Lansing MI
Rhode Island,RI,Exeter,Providence-New Bedford-Fall River RI-MA
Arkansas,AR,Jonesboro,Jonesboro AR
Ohio,OH,Broadview Heights,Cleveland
New York,NY,East Hampton,New York City
California,CA,Daly City,San Francisco
Pennsylvania,PA,East Stroudsburg,East Stroudsburg PA
New York,NY,Scotia,Albany-Schenectady-Troy NY
Ohio,OH,Willoughby,Cleveland
South Carolina,SC,Conway,Myrtle Beach-Conway-North Myrtle Beach SC
Michigan,MI,Birmingham,Detroit
Virginia,VA,Bristol,Kingsport-Bristol-Bristol TN-VA
Pennsylvania,PA,Moon Township,Pittsburgh PA
Georgia,GA,Decatur,Atlanta
Michigan,MI,Detroit,Flint MI
Tennessee,TN,Powell,Knoxville TN
Georgia,GA,Austell,Atlanta
Illinois,IL,Carmi,
New Jersey,NJ,Belmar,New York City
New Jersey,NJ,Florham Park,New York City
Pennsylvania,PA,Altoona,Altoona PA
Illinois,IL,Rosemont,Chicago
Michigan,MI,Lake Orion,Detroit
Michigan,MI,Manistee,
West Virginia,WV,Berkeley Springs,Hagerstown-Martinsburg MD-WV
Michigan,MI,Ada,Grand Rapids-Wyoming MI
Massachusetts,MA,South Easton,Providence-New Bedford-Fall River RI-MA
Pennsylvania,PA,Camp Hill,Harrisburg-Carlisle PA
Oregon,OR,Sherwood,Portland OR
New York,NY,Mount Vernon,New York City
New Jersey,NJ,Denville,New York City
New York,NY,Schenectady,Albany-Schenectady-Troy NY
Massachusetts,MA,Natick,Boston
Illinois,IL,Plainfield,Chicago
New Jersey,NJ,Princeton Junction,Trenton-Ewing NJ
Utah,UT,Farmington,Ogden-Clearfield UT
Tennessee,TN,Thompson's Station,Columbia TN
Texas,TX,Bellaire,Houston
Florida,FL,Seville,Palatka FL
California,CA,Hayward,San Francisco
Louisiana,LA,Prairieville,Baton Rouge LA
Ohio,OH,Fairfield,Cincinnati
California,CA,Lynwood,Los Angeles
Maryland,MD,Glen Burnie,Baltimore
New York,NY,Uniondale,New York City
Colorado,CO,Golden,Denver
Rhode Island,RI,Charlestown,Providence-New Bedford-Fall River RI-MA
Illinois,IL,Glenview,Chicago
Illinois,IL,Lincolnshire,Chicago
North Carolina,NC,Winston Salem,Thomasville-Lexington NC
Texas,TX,Center Point,San Antonio TX
Washington,WA,Wenatchee,Wenatchee WA
Tennessee,TN,Millington,Memphis TN-MS-AR
California,CA,Fullerton,Los Angeles
Connecticut,CT,Waterbury,New Haven-Milford CT
New York,NY,Amherst,Buffalo-Niagara Falls NY
Connecticut,CT,Monroe,Bridgeport-Stamford-Norwalk CT
Illinois,IL,Wheeling,Chicago
Massachusetts,MA,North Attleborough,Providence-New Bedford-Fall River RI-MA
Ohio,OH,Grove City,Columbus OH
Virginia,VA,Harrisonburg,Harrisonburg VA
California,CA,Carson,Los Angeles
New Jersey,NJ,Bay Head,New York City
Washington,WA,Ferndale,Bellingham WA
Pennsylvania,PA,Kimberton,Philadelphia
Texas,TX,Keller,Dallas
Virginia,VA,Potomac Falls,Washington DC
North Carolina,NC,Concord,Charlotte
Alabama,AL,Hueytown,Birmingham-Hoover AL
Colorado,CO,Berthoud,Boulder CO
Illinois,IL,Northlake,Chicago
Florida,FL,Tarpon Springs,Tampa
Pennsylvania,PA,Lake City,Erie PA
Wisconsin,WI,Waukesha,Milwaukee-Waukesha-West Allis WI
Missouri,MO,North Kansas City,Kansas City MO-KS
California,CA,Rocklin,Sacramento--Arden-Arcade--Roseville CA
Washington,WA,Gig Harbor,Seattle
California,CA,Cotati,Santa Rosa-Petaluma CA
Wisconsin,WI,Appleton,Appleton WI
California,CA,Petaluma,Santa Rosa-Petaluma CA
New Jersey,NJ,Robbinsville,Trenton-Ewing NJ
Massachusetts,MA,Lakeville,Boston
Connecticut,CT,Torrington,Torrington CT
Pennsylvania,PA,Quakertown,Philadelphia
California,CA,Watsonville,Salinas CA
